Time,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC
12/15/2019 0:00,8.64
12/15/2019 0:05,8.63
12/15/2019 0:10,8.63
12/15/2019 0:15,8.62
12/15/2019 0:20,8.61
12/15/2019 0:25,8.61
12/15/2019 0:30,8.6
12/15/2019 0:35,8.6
12/15/2019 0:40,8.59
12/15/2019 0:45,8.59
12/15/2019 0:50,8.58
12/15/2019 0:55,8.57
12/15/2019 1:00,8.57
12/15/2019 1:05,8.56
12/15/2019 1:10,8.56
12/15/2019 1:15,8.55
12/15/2019 1:20,8.55
12/15/2019 1:25,8.54
12/15/2019 1:30,8.54
12/15/2019 1:35,8.53
12/15/2019 1:40,8.53
12/15/2019 1:45,8.52
12/15/2019 1:50,8.52
12/15/2019 1:55,8.51
12/15/2019 2:00,8.51
12/15/2019 2:05,8.5
12/15/2019 2:10,8.5
12/15/2019 2:15,8.49
12/15/2019 2:20,8.49
12/15/2019 2:25,8.48
12/15/2019 2:30,8.48
12/15/2019 2:35,8.47
12/15/2019 2:40,8.47
12/15/2019 2:45,8.47
12/15/2019 2:50,8.46
12/15/2019 2:55,8.46
12/15/2019 3:00,8.45
12/15/2019 3:05,8.45
12/15/2019 3:10,8.44
12/15/2019 3:15,8.44
12/15/2019 3:20,8.44
12/15/2019 3:25,8.43
12/15/2019 3:30,8.43
12/15/2019 3:35,8.42
12/15/2019 3:40,8.42
12/15/2019 3:45,8.42
12/15/2019 3:50,8.41
12/15/2019 3:55,8.41
12/15/2019 4:00,8.4
12/15/2019 4:05,8.4
12/15/2019 4:10,8.4
12/15/2019 4:15,8.39
12/15/2019 4:20,8.39
12/15/2019 4:25,8.38
12/15/2019 4:30,8.38
12/15/2019 4:35,8.38
12/15/2019 4:40,8.37
12/15/2019 4:45,8.37
12/15/2019 4:50,8.36
12/15/2019 4:55,8.36
12/15/2019 5:00,8.36
12/15/2019 5:05,8.35
12/15/2019 5:10,8.35
12/15/2019 5:15,8.35
12/15/2019 5:20,8.34
12/15/2019 5:25,8.34
12/15/2019 5:30,8.34
12/15/2019 5:35,8.34
12/15/2019 5:40,8.33
12/15/2019 5:45,8.33
12/15/2019 5:50,8.33
12/15/2019 5:55,8.33
12/15/2019 6:00,8.32
12/15/2019 6:05,8.32
12/15/2019 6:10,8.32
12/15/2019 6:15,8.32
12/15/2019 6:20,8.31
12/15/2019 6:25,8.31
12/15/2019 6:30,8.31
12/15/2019 6:35,8.3
12/15/2019 6:40,8.3
12/15/2019 6:45,8.3
12/15/2019 6:50,8.3
12/15/2019 6:55,8.29
12/15/2019 7:00,8.29
12/15/2019 7:05,8.29
12/15/2019 7:10,8.29
12/15/2019 7:15,8.28
12/15/2019 7:20,8.28
12/15/2019 7:25,8.28
12/15/2019 7:30,8.27
12/15/2019 7:35,8.27
12/15/2019 7:40,8.27
12/15/2019 7:45,8.26
12/15/2019 7:50,8.26
12/15/2019 7:55,8.26
12/15/2019 8:00,8.25
12/15/2019 8:05,8.25
12/15/2019 8:10,8.25
12/15/2019 8:15,8.25
12/15/2019 8:20,8.24
12/15/2019 8:25,8.24
12/15/2019 8:30,8.24
12/15/2019 8:35,8.23
12/15/2019 8:40,8.23
12/15/2019 8:45,8.23
12/15/2019 8:50,8.23
12/15/2019 8:55,8.23
12/15/2019 9:00,8.23
12/15/2019 9:05,8.23
12/15/2019 9:10,8.23
12/15/2019 9:15,8.22
12/15/2019 9:20,8.22
12/15/2019 9:25,8.22
12/15/2019 9:30,8.22
12/15/2019 9:35,8.22
12/15/2019 9:40,8.23
12/15/2019 9:45,8.23
12/15/2019 9:50,8.23
12/15/2019 9:55,8.23
12/15/2019 10:00,8.23
12/15/2019 10:05,8.24
12/15/2019 10:10,8.24
