Time,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC,Angelo HQ SF Eel Gage Water Temp Outside degC
12/15/2020 0:00,5.744,
12/15/2020 0:05,5.742,
12/15/2020 0:10,5.74,
12/15/2020 0:15,5.737,
12/15/2020 0:20,5.735,
12/15/2020 0:25,5.733,
12/15/2020 0:30,5.731,
12/15/2020 0:35,5.729,
12/15/2020 0:40,5.727,
12/15/2020 0:45,5.725,
12/15/2020 0:50,5.723,
12/15/2020 0:55,5.721,
12/15/2020 1:00,5.72,
12/15/2020 1:05,5.717,
12/15/2020 1:10,5.715,
12/15/2020 1:15,5.714,
12/15/2020 1:20,5.712,
12/15/2020 1:25,5.71,
12/15/2020 1:30,5.708,
12/15/2020 1:35,5.706,
12/15/2020 1:40,5.704,
12/15/2020 1:45,5.702,
12/15/2020 1:50,5.701,
12/15/2020 1:55,5.699,
12/15/2020 2:00,5.697,
12/15/2020 2:05,5.696,
12/15/2020 2:10,5.694,
12/15/2020 2:15,5.691,
12/15/2020 2:20,5.689,
12/15/2020 2:25,5.687,
12/15/2020 2:30,5.685,
12/15/2020 2:35,5.683,
12/15/2020 2:40,5.68,
12/15/2020 2:45,5.678,
12/15/2020 2:50,5.676,
12/15/2020 2:55,5.674,
12/15/2020 3:00,5.671,
12/15/2020 3:05,5.668,
12/15/2020 3:10,5.665,
12/15/2020 3:15,5.662,
12/15/2020 3:20,5.659,
12/15/2020 3:25,5.657,
12/15/2020 3:30,5.655,
12/15/2020 3:35,5.653,
12/15/2020 3:40,5.65,
12/15/2020 3:45,5.646,
12/15/2020 3:50,5.643,
12/15/2020 3:55,5.64,
12/15/2020 4:00,5.637,
12/15/2020 4:05,5.633,
12/15/2020 4:10,5.629,
12/15/2020 4:15,5.625,
12/15/2020 4:20,5.622,
12/15/2020 4:25,5.619,
12/15/2020 4:30,5.616,
12/15/2020 4:35,5.613,
12/15/2020 4:40,5.61,
12/15/2020 4:45,5.608,
12/15/2020 4:50,5.605,
12/15/2020 4:55,5.602,
12/15/2020 5:00,5.6,
12/15/2020 5:05,5.597,
12/15/2020 5:10,5.594,
12/15/2020 5:15,5.591,
12/15/2020 5:20,5.588,
12/15/2020 5:25,5.586,
12/15/2020 5:30,5.583,
12/15/2020 5:35,5.58,
12/15/2020 5:40,5.577,
12/15/2020 5:45,5.574,
12/15/2020 5:50,5.57,
12/15/2020 5:55,5.567,
12/15/2020 6:00,5.564,
12/15/2020 6:05,5.561,
12/15/2020 6:10,5.558,
12/15/2020 6:15,5.555,
12/15/2020 6:20,5.551,
12/15/2020 6:25,5.548,
12/15/2020 6:30,5.544,
12/15/2020 6:35,5.541,
12/15/2020 6:40,5.539,
12/15/2020 6:45,5.536,
12/15/2020 6:50,5.533,
12/15/2020 6:55,5.53,
12/15/2020 7:00,5.526,
12/15/2020 7:05,5.523,
12/15/2020 7:10,5.519,
12/15/2020 7:15,5.515,
12/15/2020 7:20,5.512,
12/15/2020 7:25,5.508,
12/15/2020 7:30,5.504,
12/15/2020 7:35,5.5,
12/15/2020 7:40,5.498,
12/15/2020 7:45,5.496,
12/15/2020 7:50,5.494,
12/15/2020 7:55,5.492,
12/15/2020 8:00,5.489,
12/15/2020 8:05,5.488,
12/15/2020 8:10,5.485,
12/15/2020 8:15,5.484,
12/15/2020 8:20,5.482,
12/15/2020 8:25,5.48,
12/15/2020 8:30,5.479,
12/15/2020 8:35,5.477,
12/15/2020 8:40,5.477,
12/15/2020 8:45,5.477,
12/15/2020 8:50,5.476,
12/15/2020 8:55,5.476,
12/15/2020 9:00,5.475,
12/15/2020 9:05,5.475,
12/15/2020 9:10,5.475,
12/15/2020 9:15,5.477,
12/15/2020 9:20,5.48,
12/15/2020 9:25,5.482,
12/15/2020 9:30,5.485,
12/15/2020 9:35,5.487,
12/15/2020 9:40,5.49,
12/15/2020 9:45,5.492,
12/15/2020 9:50,5.495,
12/15/2020 9:55,5.499,
12/15/2020 10:00,5.503,
12/15/2020 10:05,5.506,
12/15/2020 10:10,5.51,
12/15/2020 10:15,5.512,
12/15/2020 10:20,5.515,
12/15/2020 10:25,5.518,
12/15/2020 10:30,5.522,
12/15/2020 10:35,5.528,
12/15/2020 10:40,5.534,
12/15/2020 10:45,5.543,
12/15/2020 10:50,5.552,
12/15/2020 10:55,5.558,
12/15/2020 11:00,5.565,
12/15/2020 11:05,5.571,
12/15/2020 11:10,5.579,
12/15/2020 11:15,5.587,
12/15/2020 11:20,5.596,
12/15/2020 11:25,5.603,
12/15/2020 11:30,5.609,
12/15/2020 11:35,5.614,
12/15/2020 11:40,5.618,
12/15/2020 11:45,5.623,
12/15/2020 11:50,5.629,
12/15/2020 11:55,5.635,
12/15/2020 12:00,5.642,
12/15/2020 12:05,5.648,
12/15/2020 12:10,5.655,
12/15/2020 12:15,5.663,
12/15/2020 12:20,5.668,
12/15/2020 12:25,5.676,
12/15/2020 12:30,5.683,
12/15/2020 12:35,5.69,
12/15/2020 12:40,5.696,
12/15/2020 12:45,5.702,
12/15/2020 12:50,5.708,
12/15/2020 12:55,5.716,
12/15/2020 13:00,5.721,
12/15/2020 13:05,5.727,
12/15/2020 13:10,5.733,
12/15/2020 13:15,5.74,
12/15/2020 13:20,5.748,
12/15/2020 13:25,5.756,
12/15/2020 13:30,5.764,
12/15/2020 13:35,5.772,
12/15/2020 13:40,5.781,
12/15/2020 13:45,5.789,
12/15/2020 13:50,5.797,
12/15/2020 13:55,5.804,
12/15/2020 14:00,5.81,
12/15/2020 14:05,5.817,
12/15/2020 14:10,5.823,
12/15/2020 14:15,5.831,
12/15/2020 14:20,5.838,
12/15/2020 14:25,5.844,
12/15/2020 14:30,5.851,
12/15/2020 14:35,5.857,
12/15/2020 14:40,5.861,
12/15/2020 14:45,5.864,
12/15/2020 14:50,5.869,
12/15/2020 14:55,5.873,
12/15/2020 15:00,5.878,
12/15/2020 15:05,5.882,
12/15/2020 15:10,5.887,
12/15/2020 15:15,5.891,
12/15/2020 15:20,5.895,
12/15/2020 15:25,5.9,
12/15/2020 15:30,5.904,
12/15/2020 15:35,5.908,
12/15/2020 15:40,5.912,
12/15/2020 15:45,5.916,
12/15/2020 15:50,5.92,
12/15/2020 15:55,5.923,
12/15/2020 16:00,5.926,
12/15/2020 16:05,5.929,
12/15/2020 16:10,5.932,
12/15/2020 16:15,5.935,
12/15/2020 16:20,5.937,
12/15/2020 16:25,5.939,
12/15/2020 16:30,5.941,
12/15/2020 16:35,5.943,
12/15/2020 16:40,5.945,
12/15/2020 16:45,5.946,
12/15/2020 16:50,5.948,
12/15/2020 16:55,5.949,
12/15/2020 17:00,5.951,
12/15/2020 17:05,5.952,
12/15/2020 17:10,5.954,
12/15/2020 17:15,5.955,
12/15/2020 17:20,5.956,
12/15/2020 17:25,5.958,
12/15/2020 17:30,5.959,
12/15/2020 17:35,5.96,
12/15/2020 17:40,5.961,
12/15/2020 17:45,5.962,
12/15/2020 17:50,5.964,
12/15/2020 17:55,5.965,
12/15/2020 18:00,5.966,
12/15/2020 18:05,5.967,
12/15/2020 18:10,5.969,
12/15/2020 18:15,5.97,
12/15/2020 18:20,5.971,
12/15/2020 18:25,5.971,
12/15/2020 18:30,5.972,
12/15/2020 18:35,5.973,
12/15/2020 18:40,5.974,
12/15/2020 18:45,5.975,
12/15/2020 18:50,5.976,
12/15/2020 18:55,5.977,
12/15/2020 19:00,5.978,
12/15/2020 19:05,5.978,
12/15/2020 19:10,5.979,
12/15/2020 19:15,5.98,
12/15/2020 19:20,5.981,
12/15/2020 19:25,5.981,
12/15/2020 19:30,5.982,
12/15/2020 19:35,5.983,
12/15/2020 19:40,5.984,
12/15/2020 19:45,5.984,
12/15/2020 19:50,5.985,
12/15/2020 19:55,5.986,
12/15/2020 20:00,5.987,
12/15/2020 20:05,5.988,
12/15/2020 20:10,5.988,
12/15/2020 20:15,5.989,
12/15/2020 20:20,5.99,
12/15/2020 20:25,5.991,
12/15/2020 20:30,5.992,
12/15/2020 20:35,5.992,
12/15/2020 20:40,5.994,
12/15/2020 20:45,5.995,
12/15/2020 20:50,5.996,
12/15/2020 20:55,5.996,
12/15/2020 21:00,5.998,
12/15/2020 21:05,5.999,
12/15/2020 21:10,6,
12/15/2020 21:15,6,
12/15/2020 21:20,6.002,
12/15/2020 21:25,6.002,
12/15/2020 21:30,6.004,
12/15/2020 21:35,6.005,
12/15/2020 21:40,6.006,
12/15/2020 21:45,6.007,
12/15/2020 21:50,6.008,
12/15/2020 21:55,6.01,
12/15/2020 22:00,6.011,
12/15/2020 22:05,6.012,
12/15/2020 22:10,6.014,
12/15/2020 22:15,6.015,
12/15/2020 22:20,6.017,
12/15/2020 22:25,6.018,
12/15/2020 22:30,6.02,
12/15/2020 22:35,6.021,
12/15/2020 22:40,6.023,
12/15/2020 22:45,6.024,
12/15/2020 22:50,6.026,
12/15/2020 22:55,6.028,
12/15/2020 23:00,6.03,
12/15/2020 23:05,6.031,
