video,body_ram,jaw_ram,time_ms,total_distance_cm,proportion_body_ram,proportion_jaw_ram,gape_cm,suction,speed (m/s),species
ongus1_08,2.741,0.791,26,3.195,0.105423077,0.247574335,1.86,0.337,1.228846154,Epinephelus_ongus
fasciatus3_11,1.327,0.792,45,1.925,0.029488889,0.411428571,1.44,0.194,0.427777778,Pseudanthias_fasciatus
ongus1_13,4.103,0.765,64,4.548,0.064109375,0.168205805,1.57,0.32,0.710625,Epinephelus_ongus
fasciatus4_17,1.738,0.871,57,2.409,0.030491228,0.361560814,0.973,0.2,0.422631579,Pseudanthias_fasciatus
fasciatus4_05,1.76,0.799,53,2.35,0.033207547,0.34,0.949,0.209,0.443396226,Pseudanthias_fasciatus
ongus4_20,5.067,0.799,36,5.534,0.14075,0.144380195,1.16,0.332,1.537222222,Epinephelus_ongus
ongus2_13,3.143,0.822,24,3.755,0.130958333,0.218908123,1.194,0.21,1.564583333,Epinephelus_ongus
unicolor1_12,1.42,1.244,73,2.204,0,0.564428312,1.218,0.46,0.301917808,Hypoplectrus_unicolor
unicolor2_8,2.948,1.389,78,3.912,0,0.35506135,1.45,0.425,0.501538462,Hypoplectrus_unicolor
unicolor2_10,3.49,1.86,73,4.83,0,0.385093168,1.883,0.52,0.661643836,Hypoplectrus_unicolor
unicolor1_15,1.54,0.914,88,2.219,0,0.411897251,1.234,0.235,0.252159091,Hypoplectrus_unicolor
fasciatus3_19,1.827,1.053,51,2.68,0,0.392910448,1.484,0.2,0.525490196,Pseudanthias_fasciatus
