Species,Family,Prey,Body_length,Head_length,Upper_jaw_length,Body_depth,Caudal_peduncle_depth,Jaws_to_eye_distance,Fineness_ratio
Abudefduf_sordidus,Pomacentridae,benthic,0.7224,0.2283,0.0455,0.4162,0.1444,0.0906,1.7359
Acanthurus_achilles,Acanthuridae,benthic,0.703,0.1804,0.0277,0.3783,0.0791,0.1398,1.8584
Acanthurus_blochii,Acanthuridae,benthic,0.7217,0.1562,0.0328,0.3689,0.0966,0.1704,1.9565
Acanthurus_nigricans,Acanthuridae,benthic,0.7148,0.1569,0.0356,0.3757,0.0881,0.1742,1.9027
Acanthurus_thompsoni,Acanthuridae,planktonic,0.7586,0.1627,0.0276,0.2865,0.1328,0.1003,2.6482
Apolemichthys_xanthopunctatus,Pomacanthidae,benthic,0.6963,0.1873,0.0343,0.3592,0.0945,0.0901,1.9385
Bodianus_mesothorax,Labridae,benthic,0.8102,0.2688,0.0514,0.262,0.1476,0.1094,3.0925
Caesio_striata,Lutjanidae,planktonic,0.7926,0.2209,0.0703,0.187,0.0748,0.0789,4.2375
Caesio_varilineata,Lutjanidae,planktonic,0.7793,0.1886,0.0668,0.2106,0.0723,0.0636,3.6996
Carangoides_armatus,Carangidae,benthic,0.7419,0.2309,0.0544,0.3978,0.0625,0.083,1.8652
Carangoides_malabaricus,Carangidae,benthic,0.7772,0.2421,0.094,0.3436,0.0654,0.1174,2.2618
Caranx_ignobilis,Carangidae,benthic,0.757,0.2257,0.0954,0.3305,0.0393,0.0918,2.2906
Chaetodon_kleinii,Chaetodontidae,benthic,0.6919,0.2151,0.0408,0.4155,0.0721,0.0875,1.6655
Chaetodon_miliaris,Chaetodontidae,planktonic,0.7016,0.2014,0.0401,0.3873,0.0746,0.0955,1.8115
Chaetodon_plebeius,Chaetodontidae,benthic,0.7042,0.2033,0.0461,0.3603,0.0771,0.0787,1.9544
Chaetodon_reticulatus,Chaetodontidae,benthic,0.6898,0.2215,0.0341,0.4338,0.0832,0.0912,1.5901
Chaetodon_speculum,Chaetodontidae,benthic,0.6954,0.2102,0.0462,0.4129,0.0875,0.0904,1.6843
Chaetodon_unimaculatus,Chaetodontidae,benthic,0.704,0.213,0.0317,0.406,0.0817,0.096,1.7341
Chaetodon_xanthurus,Chaetodontidae,benthic,0.7133,0.22,0.0381,0.3927,0.0796,0.1047,1.8163
Chaetodontoplus_mesoleucus,Pomacanthidae,benthic,0.6841,0.1881,0.0429,0.3665,0.0859,0.0815,1.8667
Chaetodontoplus_septentrionalis,Pomacanthidae,benthic,0.6987,0.1796,0.0294,0.3575,0.1022,0.0755,1.9544
Cheilinus_abudjubbe,Labridae,benthic,0.7642,0.2503,0.0632,0.3195,0.1506,0.1032,2.3914
Cheilinus_trilobatus,Labridae,benthic,0.7731,0.25,0.0622,0.3109,0.1449,0.1067,2.4864
Chromis_atripectoralis,Pomacentridae,planktonic,0.7618,0.2213,0.0735,0.3549,0.1174,0.0787,2.1463
Chromis_ovalis,Pomacentridae,planktonic,0.7354,0.1863,0.0558,0.3381,0.1094,0.0606,2.1752
Chromis_vanderbilti,Pomacentridae,planktonic,0.7765,0.266,0.0594,0.3072,0.1181,0.0858,2.5277
Chromis_viridis,Pomacentridae,planktonic,0.7527,0.2149,0.0751,0.3366,0.1034,0.0765,2.2363
Cirrhilabrus_blatteus,Labridae,planktonic,0.7763,0.2023,0.0238,0.2295,0.1176,0.0771,3.3834
Cirrhilabrus_katherinae,Labridae,planktonic,0.7674,0.2205,0.0322,0.2144,0.104,0.0714,3.5794
Coris_ballieui,Labridae,benthic,0.7486,0.1908,0.0327,0.2458,0.0974,0.0731,3.0461
Ctenochaetus_flavicauda,Acanthuridae,benthic,0.7362,0.1785,0.0336,0.388,0.1207,0.1962,1.8973
Decapterus_macarellus,Carangidae,planktonic,0.7915,0.2054,0.1202,0.1695,0.0271,0.0863,4.6686
Decapterus_russelli,Carangidae,planktonic,0.7983,0.241,0.0979,0.1962,0.0398,0.1002,4.0683
Genicanthus_bellus,Pomacanthidae,planktonic,0.7387,0.1794,0.0502,0.3186,0.1247,0.0803,2.3184
Genicanthus_caudovittatus,Pomacanthidae,planktonic,0.7165,0.1912,0.0404,0.3266,0.0949,0.0778,2.1939
Genicanthus_lamarck,Pomacanthidae,planktonic,0.717,0.1823,0.0448,0.3279,0.1146,0.1025,2.1863
Genicanthus_melanospilos,Pomacanthidae,planktonic,0.7157,0.1777,0.0304,0.3374,0.1094,0.0795,2.1213
Genicanthus_watanabei,Pomacanthidae,planktonic,0.707,0.1681,0.026,0.3301,0.0979,0.0668,2.1416
Hemitaurichthys_polylepis,Chaetodontidae,planktonic,0.7085,0.2062,0.0237,0.3934,0.1031,0.093,1.8009
Hemitaurichthys_zoster,Chaetodontidae,planktonic,0.7039,0.2265,0.0375,0.4272,0.0912,0.1085,1.6476
Heniochus_acuminatus,Chaetodontidae,planktonic,0.7252,0.239,0.0463,0.4972,0.1135,0.1223,1.4586
Lepidozygus_tapeinosoma,Pomacentridae,planktonic,0.7439,0.1973,0.0559,0.2528,0.0812,0.0647,2.9431
Leptojulis_cyanopleura,Labridae,planktonic,0.7812,0.2133,0.0526,0.1839,0.0904,0.0954,4.2479
Lutjanus_bengalensis,Lutjanidae,benthic,0.8048,0.2499,0.1035,0.2762,0.1146,0.1059,2.9141
Lutjanus_carponotatus,Lutjanidae,benthic,0.7954,0.2611,0.0948,0.3077,0.1287,0.1239,2.5847
Lutjanus_gibbus,Lutjanidae,benthic,0.8073,0.2587,0.1056,0.3265,0.1547,0.1396,2.4722
