Time,Angelo HQ SF Eel Gage Discharge South Fork Eel River Inside m^3/s,Angelo HQ SF Eel Gage Water Temp Inside degC,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC
12/14/2020 0:00,1.942953432,8.21,6.312
12/14/2020 0:05,1.949853102,8.21,6.307
12/14/2020 0:10,1.951367711,8.2,6.302
12/14/2020 0:15,1.960329344,8.22,6.298
12/14/2020 0:20,1.963470823,8.21,6.294
12/14/2020 0:25,1.967707827,8.22,6.29
12/14/2020 0:30,1.97310007,8.23,6.286
12/14/2020 0:35,1.979499224,8.21,6.281
12/14/2020 0:40,1.981883572,8.21,6.277
12/14/2020 0:45,1.983550746,8.2,6.272
12/14/2020 0:50,1.990015653,8.25,6.268
12/14/2020 0:55,1.994234691,8.21,6.263
12/14/2020 1:00,2.002154355,8.28,6.259
12/14/2020 1:05,2.004111094,8.22,6.255
12/14/2020 1:10,2.006821555,8.19,6.251
12/14/2020 1:15,2.010217892,8.23,6.246
12/14/2020 1:20,2.016685282,8.22,6.241
12/14/2020 1:25,2.02638219,8.26,6.237
12/14/2020 1:30,2.033263071,8.25,6.232
12/14/2020 1:35,2.041110394,8.28,6.229
12/14/2020 1:40,2.054340408,8.27,6.224
12/14/2020 1:45,2.069545772,8.3,6.219
12/14/2020 1:50,2.094350796,8.26,6.215
12/14/2020 1:55,2.120370034,8.29,6.21
12/14/2020 2:00,2.152979063,8.23,6.205
12/14/2020 2:05,2.179699042,8.25,6.199
12/14/2020 2:10,2.222011276,8.28,6.193
12/14/2020 2:15,2.277598052,8.22,6.188
12/14/2020 2:20,2.335795997,8.26,6.182
12/14/2020 2:25,2.392794622,8.22,6.176
12/14/2020 2:30,2.457465832,8.27,6.17
12/14/2020 2:35,2.523853192,8.23,6.163
12/14/2020 2:40,2.594673525,8.27,6.157
12/14/2020 2:45,2.662644211,8.28,6.15
12/14/2020 2:50,2.713979414,8.22,6.143
12/14/2020 2:55,2.755282572,8.23,6.136
12/14/2020 3:00,2.789716729,8.24,6.129
12/14/2020 3:05,2.825922901,8.23,6.122
12/14/2020 3:10,2.853698077,8.25,6.114
12/14/2020 3:15,2.871058927,8.3,6.107
12/14/2020 3:20,2.888933581,8.24,6.099
12/14/2020 3:25,2.902670261,8.24,6.091
12/14/2020 3:30,2.917525751,8.23,6.084
12/14/2020 3:35,2.922783043,8.25,6.076
12/14/2020 3:40,2.925362426,8.25,6.069
12/14/2020 3:45,2.924471997,8.22,6.062
12/14/2020 3:50,2.915027624,8.31,6.055
12/14/2020 3:55,2.921850131,8.26,6.049
12/14/2020 4:00,2.917320675,8.31,6.042
12/14/2020 4:05,2.908179574,8.25,6.035
12/14/2020 4:10,2.899647742,8.28,6.029
12/14/2020 4:15,2.8919902,8.23,6.022
12/14/2020 4:20,2.881832095,8.24,6.016
12/14/2020 4:25,2.866850317,8.29,6.009
12/14/2020 4:30,2.861686066,8.26,6.003
12/14/2020 4:35,2.857869308,8.25,5.997
12/14/2020 4:40,2.845022116,8.24,5.99
12/14/2020 4:45,2.833343215,8.24,5.983
12/14/2020 4:50,2.822212221,8.28,5.975
12/14/2020 4:55,2.806588932,8.27,5.967
12/14/2020 5:00,2.792552257,8.28,5.96
12/14/2020 5:05,2.779786761,8.25,5.952
12/14/2020 5:10,2.76925189,8.26,5.944
12/14/2020 5:15,2.755900278,8.24,5.936
12/14/2020 5:20,2.743112677,8.27,5.929
12/14/2020 5:25,2.732074349,8.31,5.921
12/14/2020 5:30,2.723465306,8.31,5.914
12/14/2020 5:35,2.711313504,8.27,5.906
12/14/2020 5:40,2.696491886,8.32,5.898
12/14/2020 5:45,2.682838581,8.27,5.891
12/14/2020 5:50,2.66839523,8.26,5.884
12/14/2020 5:55,2.6563094,8.31,5.876
12/14/2020 6:00,2.648902999,8.31,5.869
12/14/2020 6:05,2.638049379,8.31,5.86
12/14/2020 6:10,2.627676149,8.25,5.853
12/14/2020 6:15,2.612561381,8.3,5.846
12/14/2020 6:20,2.597752369,8.32,5.839
12/14/2020 6:25,2.590237195,8.31,5.832
12/14/2020 6:30,2.579514989,8.31,5.826
12/14/2020 6:35,2.56690055,8.26,5.818
12/14/2020 6:40,2.558946742,8.29,5.81
12/14/2020 6:45,2.544539963,8.29,5.803
12/14/2020 6:50,2.536464929,8.32,5.796
12/14/2020 6:55,2.522927711,8.32,5.789
12/14/2020 7:00,2.514303311,8.27,5.782
12/14/2020 7:05,2.499595168,8.26,5.775
12/14/2020 7:10,2.495408627,8.26,5.768
12/14/2020 7:15,2.481545547,8.25,5.76
12/14/2020 7:20,2.471471868,8.26,5.753
12/14/2020 7:25,2.467684342,8.31,5.745
12/14/2020 7:30,2.453181272,8.25,5.738
12/14/2020 7:35,2.447819342,8.26,5.732
12/14/2020 7:40,2.436646963,8.25,5.725
12/14/2020 7:45,2.429312953,8.27,5.718
12/14/2020 7:50,2.41778134,8.3,5.711
12/14/2020 7:55,2.413349336,8.3,5.704
12/14/2020 8:00,2.400874764,8.32,5.697
12/14/2020 8:05,2.393815434,8.33,5.691
12/14/2020 8:10,2.382416725,8.32,5.684
12/14/2020 8:15,2.378432689,8.25,5.678
12/14/2020 8:20,2.36720705,8.34,5.672
12/14/2020 8:25,2.359350128,8.32,5.665
12/14/2020 8:30,2.350093251,8.24,5.659
12/14/2020 8:35,2.341520034,8.27,5.654
12/14/2020 8:40,2.329482936,8.24,5.649
12/14/2020 8:45,2.323161867,8.24,5.643
12/14/2020 8:50,2.315011966,8.25,5.637
12/14/2020 8:55,2.305809925,8.3,5.631
12/14/2020 9:00,2.296078797,8.31,5.626
12/14/2020 9:05,2.287723613,8.25,5.621
12/14/2020 9:10,2.280764309,8.32,5.616
12/14/2020 9:15,2.271146436,8.28,5.611
12/14/2020 9:20,2.262763861,8.32,5.606
12/14/2020 9:25,2.255653892,8.27,5.601
12/14/2020 9:30,2.24342299,8.29,5.597
12/14/2020 9:35,2.23722169,8.29,5.592
12/14/2020 9:40,2.230192465,8.3,5.588
12/14/2020 9:45,2.21775331,8.28,5.584
12/14/2020 9:50,2.211940086,8.32,5.58
12/14/2020 9:55,2.201625325,8.31,5.576
12/14/2020 10:00,2.194514303,8.31,5.573
12/14/2020 10:05,2.187013912,8.32,5.571
12/14/2020 10:10,2.178208459,8.24,5.568
12/14/2020 10:15,2.169792828,8.27,5.565
12/14/2020 10:20,2.164231903,8.31,5.562
12/14/2020 10:25,2.152640899,8.26,5.56
12/14/2020 10:30,2.14582237,8.31,5.559
12/14/2020 10:35,2.137079989,8.29,5.558
