Date,Cranb ID,Temp1,Temp2,Temp_Ave,Length,Width,Weight,Microplastic Load,Adjusted Microplastic load,Notes,Body Index,Predicted Weight
2/12/2022,1A,32.1,32.2,32.15,30.84,16.47,3.73,,,,1.023133249,3.645663947
2/12/2022,2A,33.7,33.9,33.8,28.9,15.26,3.28,,,,1.044640851,3.13983509
2/12/2022,3A,35.5,35.5,35.5,15.3,8.77,0.65,,,one temp,0.89331589,0.727626148
2/12/2022,4A,34.7,34.3,34.5,16.19,9.97,0.7,,,,0.844766798,0.828631051
2/12/2022,5A,NA,NA,NA,16.14,9.32,0.71,,,,0.862949605,0.822759517
2/12/2022,6A,30.3,30.2,30.25,21.3,13.82,2.55,,,damaged,1.637920332,1.556852278
2/12/2022,7A,34.2,34.2,34.2,18.36,11.12,1.22,,,one temp,1.10258949,1.10648615
2/12/2022,8A,34.8,34.5,34.65,20.82,12.85,1.73,,,,1.170998174,1.477372073
2/12/2022,9A,35,34.4,34.7,15.98,9.64,0.71,,,,0.882942953,0.804128961
2/12/2022,10A,35,34.3,34.65,19.1,11.6,1.36,,,,1.122381498,1.211709212
2/12/2022,11A,NA,NA,NA,NA,NA,NA,,,,#VALUE!,NA
2/12/2022,12A,NA,NA,NA,22.05,11.95,1.58,,,,0.937255573,1.685772851
2/12/2022,13A,34.9,34.2,34.55,24.23,13.75,2.54,,,,1.213116527,2.093780724
2/12/2022,14A,34.3,34,34.15,29.27,12.73,1.73,,,,0.535103222,3.233021085
2/12/2022,15A,32,32,32,18.11,10.38,0.84,,,one temp,0.783469457,1.072154112
2/12/2022,16A,34.6,34.6,34.6,19.42,12.75,1.88,,,one temp,1.493379487,1.258889664
2/12/2022,17A,35.3,35.3,35.3,14.05,9.27,0.64,,,one temp,1.069964593,0.598150634
2/12/2022,18A,33.6,33.6,33.6,28.48,16.25,3.98,,,one temp,1.310970589,3.035918605
2/13/2022,1B,31.3,31.3,31.3,13.74,7.7,0.43,,,,0.756718338,0.568243134
2/13/2022,2B,29.4,29.2,29.3,28.66,16.27,3.89,,,,1.262899966,3.080212294
2/13/2022,3B,30.3,30.4,30.35,25.05,14.85,3.02,,,,1.33611941,2.260277021
2/13/2022,4B',33.5,33.3,33.4,16.53,9.59,0.82,,,,0.943413016,0.869184531
2/13/2022,5B,33.3,33.5,33.4,25.65,12.92,2,,,,0.837983438,2.386682015
2/13/2022,6B,33.3,33.3,33.3,24.03,12.32,1.79,,,,0.871359587,2.054260981
2/13/2022,7B,33.6,33.6,33.6,16.55,9.11,0.7,,,,0.803116862,0.871604163
2/13/2022,8B,33.4,33.6,33.5,26.11,14.95,2.78,,,,1.118157805,2.486232255
2/13/2022,9B,34.3,34.2,34.25,30.35,17.15,3.76,,,,1.07004565,3.513868776
2/13/2022,10B,34.3,34.3,34.3,13.52,8.88,0.54,,,,0.986224183,0.54754285
2/13/2022,11B,34.1,34.1,34.1,16.37,9.14,0.75,,,,0.88239015,0.849964157
2/13/2022,12B,34.5,34.8,34.65,24.26,13.45,1.96,,,,0.933446501,2.099745404
2/13/2022,13B,34.6,34.9,34.75,14.62,9.45,0.57,,,,0.869677327,0.6554155
2/17/2022,1C,28.1,28,28.05,18.07,10.33,0.77,,,,0.721840482,1.066717674
2/17/2022,2C,29.5,29.8,29.65,29.2,17.32,4.19,,,,1.303155224,3.215273149
2/17/2022,3C,29.9,30.2,30.05,17.16,10.62,0.81,,,,0.855120043,0.947235428
2/17/2022,4C,29.9,30.2,30.05,25.73,13.78,1.96,,,,0.81536545,2.403830087
2/17/2022,5C,30.2,30.4,30.3,27.46,14.43,2.14,,,,0.766546579,2.791741634
2/17/2022,6C,30.1,30.4,30.25,14.8,9.81,0.79,,,,1.171905816,0.674115607
2/17/2022,7C,30.2,30.6,30.4,29.27,16.4,3.53,,,,1.09185802,3.233021085
2/17/2022,8C,30.2,30.5,30.35,24.91,13.54,2.38,,,,1.066623282,2.231340755
2/17/2022,9C,30.3,30.5,30.4,16.9,11.8,1,,,,1.093416864,0.914564273
2/17/2022,10C,30.3,30.9,30.6,19.82,10.56,0.89,,,,0.674599503,1.319301298
2/17/2022,11C,30.4,31,30.7,26.7,14.33,2.1,,,,0.802356189,2.61729146
2/17/2022,12C,30.8,31,30.9,16.3,8.73,0.9,,,,1.069351563,0.841631537
2/17/2022,13C,31,31.5,31.25,19.41,12.97,1.45,,,,1.153173353,1.257399849
2/17/2022,14C,31.3,31.5,31.4,15.44,9.22,0.68,,,,0.915179074,0.743023983
2/17/2022,15C,31.3,31.6,31.45,16.9,9.23,0.65,,,,0.710720962,0.914564273
2/17/2022,16C,31.5,31.7,31.6,16.49,10.37,0.73,,,,0.844558767,0.864356666
2/17/2022,17C,31.5,32.1,31.8,14.59,9.02,0.61,,,,0.935112841,0.652327691
2/17/2022,18C,32.1,32.4,32.25,13.54,8.5,0.54,,,,0.982878312,0.549406771
2/17/2022,19C,32.4,32.1,32.25,16.03,8.2,0.53,,,,0.654381486,0.809925115
2/17/2022,20C,32,32.1,32.05,17.11,10.05,0.74,,,,0.786479215,0.94090217
2/17/2022,21C,32.4,32.5,32.45,16.79,9.07,0.67,,,,0.7436705,0.900936638
2/17/2022,22C,32.3,32.5,32.4,15.88,8.14,0.52,,,,0.656062705,0.792607164
2/24/2022,1D,28.4,28.4,28.4,26.98,16.61,3.6,,,,1.342871232,2.680822936
2/24/2022,2D,29.5,29.4,29.45,16.58,8.81,0.58,,,,0.662674821,0.875240739
2/24/2022,3D,30.2,30.2,30.2,15.75,9.9,0.7,,,,0.900010008,0.777769129
2/24/2022,4D,29.9,29.9,29.9,22.65,14.08,2.19,,,,1.221348519,1.793099975
2/24/2022,5D,30.8,31,30.9,30.04,17.13,3.57,,,,1.0402396,3.431901649
2/24/2022,6D,31.9,32.2,32.05,17.05,9.57,0.73,,,,0.782142355,0.933333933
