Date ,ID,Microplastic,Area,Total Area,Adjusted Area
,,11,0.104,,
,,17,0.104,,
,,18,0.104,,
,,25,0.104,,
,,29,0.104,,
,,31,0.104,,
,,38,0.104,,
,,45,0.104,,
,,46,0.104,,
,,61,0.104,,
,,64,0.104,,
,,65,0.104,,
,,73,0.104,,
,,78,0.104,,
,,82,0.104,,
,,90,0.104,,
,,91,0.104,,
,,94,0.104,,
,,96,0.104,,
,,99,0.104,,
,,106,0.104,,
,,107,0.104,,
,,109,0.104,,
,,110,0.104,,
,,111,0.104,,
,,114,0.104,,
,,116,0.104,,
,,117,0.104,,
,,118,0.104,,
,,119,0.104,,
,,121,0.104,,
,,122,0.104,,
,,130,0.104,,
,,131,0.104,,
,,141,0.104,,
,,143,0.104,,
,,145,0.104,,
,,148,0.104,,
,,150,0.104,,
,,153,0.104,,
,,155,0.104,,
,,161,0.104,,
,,162,0.104,,
,,163,0.104,,
,,164,0.104,,
,,166,0.104,,
,,167,0.104,,
,,168,0.104,,
,,169,0.104,,
,,171,0.104,,
,,172,0.104,,
,,173,0.104,,
,,174,0.104,,
,,176,0.104,,
,,177,0.104,,
,,178,0.104,,
,,179,0.104,,
,,182,0.104,,
,,183,0.104,,
,,184,0.104,,
,,187,0.104,,
,,188,0.104,,
,,189,0.104,,
,,191,0.104,,
,,192,0.104,,
,,193,0.104,,
,,194,0.104,,
,,195,0.104,,
,,196,0.104,,
,,199,0.104,,
,,201,0.104,,
,,203,0.104,,
,,204,0.104,,
,,206,0.104,,
,,207,0.104,,
,,208,0.104,,
,,209,0.104,,
,,210,0.104,,
,,211,0.104,,
,,216,0.104,,
,,217,0.104,,
,,218,0.104,,
,,228,0.104,,
,,232,0.104,,
,,233,0.104,,
,,235,0.104,,
,,237,0.104,,
,,238,0.104,,
,,241,0.104,,
,,245,0.104,,
,,255,0.104,,
,,260,0.104,,
,,261,0.104,,
,,266,0.104,,
,,270,0.104,,
,,274,0.104,,
,,276,0.104,,
,,279,0.104,,
,,280,0.104,,
,,281,0.104,,
,,282,0.104,,
,,285,0.104,,
,,286,0.104,,
,,287,0.104,,
,,292,0.104,,
,,293,0.104,,
,,294,0.104,,
,,295,0.104,,
,,296,0.104,,
,,297,0.104,,
,,298,0.104,,
,,299,0.104,,
,,300,0.104,,
,,301,0.104,,
,,303,0.104,,
,,306,0.104,,
,,308,0.104,,
,,309,0.104,,
,,310,0.104,,
,,312,0.104,,
,,315,0.104,,
,,316,0.104,,
,,317,0.104,,
,,319,0.104,,
,,321,0.104,,
,,322,0.104,,
,,325,0.104,,
,,326,0.104,,
,,327,0.104,,
,,328,0.104,,
,,329,0.104,,
,,331,0.104,,
,,333,0.104,,
,,334,0.104,,
,,335,0.104,,
,,336,0.104,,
,,340,0.104,,
,,343,0.104,,
,,344,0.104,,
,,345,0.104,,
,,346,0.104,,
,,348,0.104,,
,,351,0.104,,
,,356,0.104,,
,,357,0.104,,
,,358,0.104,,
,,359,0.104,,
,,360,0.104,,
,,361,0.104,,
,,362,0.104,,
,,363,0.104,,
,,364,0.104,,
,,365,0.104,,
,,366,0.104,,
,,367,0.104,,
,,368,0.104,,
,,369,0.104,,
,,376,0.104,,
,,380,0.104,,
,,381,0.104,,
,,382,0.104,,
,,383,0.104,,
,,384,0.104,,
,,390,0.104,,
,,393,0.104,,
,,395,0.104,,
,,398,0.104,,
,,400,0.104,,
,,402,0.104,,
,,404,0.104,,
,,405,0.104,,
,,406,0.104,,
,,407,0.104,,
,,409,0.104,,
,,412,0.104,,
,,413,0.104,,
,,414,0.104,,
,,419,0.104,,
,,420,0.104,,
,,423,0.104,,
,,424,0.104,,
,,427,0.104,,
,,429,0.104,,
,,430,0.104,,
,,438,0.104,,
,,442,0.104,,
,,443,0.104,,
,,445,0.104,,
,,451,0.104,,
,,460,0.104,,
,,463,0.104,,
,,464,0.104,,
,,470,0.104,,
,,477,0.104,,
,,482,0.104,,
,,487,0.104,,
,,489,0.104,,
,,490,0.104,,
,,495,0.104,,
,,499,0.104,,
,,500,0.104,,
,,504,0.104,,
,,508,0.104,,
,,519,0.104,,
,,527,0.104,,
,,533,0.104,,
,,539,0.104,,
,,540,0.104,,
,,543,0.104,,
,,550,0.104,,
,,552,0.104,,
,,558,0.104,,
,,561,0.104,,
,,562,0.104,,
,,563,0.104,,
,,567,0.104,,
,,571,0.104,,
,,574,0.104,,
,,580,0.104,,
,,583,0.104,,
,,587,0.104,,
,,590,0.104,,
,,603,0.104,,
,,612,0.104,,
,,618,0.104,,
,,620,0.104,,
,,637,0.104,,
,,642,0.104,,
,,649,0.104,,
,,653,0.104,,
,,655,0.104,,
,,659,0.104,,
,,668,0.104,,
,,672,0.104,,
,,674,0.104,,
,,676,0.104,,
,,683,0.104,,
,,685,0.104,,
,,688,0.104,,
,,691,0.104,,
,,695,0.104,,
,,697,0.104,,
,,700,0.104,,
,,701,0.104,,
,,702,0.104,,
,,706,0.104,,
,,707,0.104,,
,,708,0.104,,
