 ,ID,Temp_1,Temp_2,Ave_temp,Length,Width,Weight,Microplastic_load,Adjusted_microplastic_load,Parasite_load,Body _index,Predicted_weight
2/24/2022,1D,28.4,28.4,28.4,26.98,16.61,3.6,59849.422,59299.381,1,1.342871232,2.680822936
2/24/2022,2D,29.5,29.4,29.45,16.58,8.81,0.58,8571.775,8021.734,3,0.662674821,0.875240739
2/24/2022,3D,30.2,30.2,30.2,15.75,9.9,0.7,46905.942,46355.901,2,0.900010008,0.777769129
2/24/2022,4D,29.9,29.9,29.9,22.65,14.08,2.19,42188.593,41638.552,0,1.221348519,1.793099975
2/24/2022,5D,30.8,31,30.9,30.04,17.13,3.57,25334.221,24784.18,6,1.0402396,3.431901649
2/24/2022,6D,31.9,32.2,32.05,17.05,9.57,0.73,8933.275,8383.234,3,0.782142355,0.933333933
2/24/2022,7D,32.2,32.5,32.35,19.56,11.47,1.38,6010.267,5460.226,0,1.078249837,1.279851805
2/24/2022,8D,32.3,32.8,32.55,17.73,10.22,0.81,5233.38,4683.339,3,0.7932333,1.021137161
2/24/2022,9D,32.5,32.8,32.65,31.26,16.52,3.16,52201.023,51650.982,1,0.840242673,3.760818276
2/24/2022,10D,33.2,32.9,33.05,14.36,9.1,0.62,30622.956,30072.915,2,0.985804813,0.628927747
2/24/2022,11D,32.8,33,32.9,14.28,8.1,0.82,37719.835,37169.794,0,1.320659943,0.620901697
2/24/2022,12D,33.6,34,33.8,12.77,6.54,0.54,30994.206,30444.165,4,1.124496709,0.480214833
2/24/2022,13D,33.4,33.6,33.5,17.81,9.33,1.29,2726.707,2176.666,0,1.250289723,1.03176086
2/24/2022,14D,33.1,33.5,33.3,20.26,12.2,2.12,7282.044,6732.003,2,1.527809084,1.38760793
2/24/2022,15D,33.6,33.6,33.6,14.18,7.19,0.61,2820.988,2270.947,2,0.998443473,0.610950962
2/24/2022,16D,33.2,33.4,33.3,26.97,13.3,2.97,24503.173,23953.132,0,1.108813373,2.678539123
2/24/2022,17D,33.4,33.6,33.5,19.29,10.57,1.53,4495.918,3945.877,0,1.234269341,1.239599777
2/24/2022,18D,33.7,33.9,33.8,14.7,8.15,0.93,93762.793,93212.752,0,1.401256686,0.663689964
2/24/2022,19D,33.7,33.8,33.75,18.08,9.2,1.31,NA,NA,1,1.226505262,1.06807532
2/24/2022,20D,33.8,34,33.9,13.89,8.29,0.93,4036.071,3486.03,2,1.596275277,0.582606279
2/24/2022,21D,33.9,34.1,34,13.92,7.01,0.66,5323.287,4773.246,3,1.127235443,0.585503236
2/24/2022,22D,34.1,34.2,34.15,10.52,6.51,0.49,5017.737,4467.696,1,1.593232643,0.307550816
2/24/2022,23D,34.4,34.5,34.45,12.17,6.58,0.56,32810.888,32260.847,0,1.302573653,0.429918108
2/24/2022,24D,34.3,34.5,34.4,14.87,7.71,0.86,6459.176,5909.135,0,1.261981058,0.681468231
02/12/2022,1A,32.1,32.2,32.15,30.84,16.47,3.73,38816.183,38266.142,17,1.023133249,3.645663947
02/12/2022,2A,33.7,33.9,33.8,28.9,15.26,3.28,5933.909,5383.868,5,1.044640851,3.13983509
02/12/2022,3A,35.5,35.5,35.5,15.3,8.77,0.65,7437.959,6887.918,6,0.89331589,0.727626148
02/12/2022,4A,34.7,34.3,34.5,16.19,9.97,0.7,7531.914,6981.873,1,0.844766798,0.828631051
02/12/2022,5A,NA,NA,NA,16.14,9.32,0.71,39773.013,39222.972,0,0.862949605,0.822759517
02/12/2022,6A,30.3,30.2,30.25,21.3,13.82,2.55,1574.18,1024.139,4,1.637920332,1.556852278
02/12/2022,7A,34.2,34.2,34.2,18.36,11.12,1.22,85959.153,85409.112,1,1.10258949,1.10648615
02/12/2022,8A,34.8,34.5,34.65,20.82,12.85,1.73,16045.641,15495.6,2,1.170998174,1.477372073
02/12/2022,9A,35,34.4,34.7,15.98,9.64,0.71,4834.323,4284.282,0,0.882942953,0.804128961
02/12/2022,10A,35,34.3,34.65,19.1,11.6,1.36,28961.881,28411.84,0,1.122381498,1.211709212
02/12/2022,11A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
