vial,temp,time,phase,round,salinity (%),pressure (inHg),amplitude ,trial,treatment,day
1,14.2,35,31.35,1,37.5,30.2,207,2a,1,1
2,14.3,77,32.23,1,37.5,30.2,252,2b,1,1
3,14.4,130,30.52,1,37.5,30.2,296,2c,1,1
4,14.3,165,31.46,1,37.5,30.2,164,2b,1,1
5,14.2,205,30.57,1,37.5,30.2,121,2a,1,1
6,14.2,248,30.14,1,37.5,30.2,497,2a,1,1
7,14.2,281,30.12,1,37.5,30.2,384,2a,1,1
1,14.2,337,32.33,2,37.5,30.2,321,2a,1,1
2,14.2,433,37.5,2,37.5,30.2,355,2a,1,1
3,14.1,497,31.64,2,37.5,30.2,409,2d,1,1
4,14.1,532,37.03,2,37.5,30.2,502,2d,1,1
5,14.1,566,35.22,2,37.5,30.2,425,2d,1,1
6,14.1,629,32.69,2,37.5,30.2,491,2d,1,1
7,14.1,661,30.58,2,37.5,30.2,390,2d,1,1
1,14.1,730,33.85,3,37.5,30.2,334,2d,1,1
2,14.1,772,39.79,3,37.5,30.2,466,2d,1,1
3,14.1,855,31.84,3,37.5,30.2,322,2d,1,1
4,14.1,900,39.8,3,37.5,30.2,554,2d,1,1
5,14.1,936,39.06,3,37.5,30.2,555,2d,1,1
6,14.1,985,32.86,3,37.5,30.2,222,2d,1,1
7,14,1020,29.89,3,37.5,30.2,378,2e,1,1
1,14,1130,34.02,4,37.5,30.2,392,2e,1,1
2,13.9,1165,46.15,4,37.5,30.2,508,2f,1,1
3,13.9,1244,35.45,4,37.5,30.2,100,2f,1,1
4,13.9,1276,44.15,4,37.5,30.2,565,2f,1,1
5,13.9,1300,42.56,4,37.5,30.2,443,2f,1,1
6,13.9,1363,33.33,4,37.5,30.2,531,2f,1,1
7,13.9,1390,29.85,4,37.5,30.2,371,2f,1,1
1,13.9,1417,35.27,5,37.5,30.2,381,2f,1,1
2,13.9,1440,47.53,5,37.5,30.2,426,2f,1,1
3,13.9,1514,33.57,5,37.5,30.2,416,2f,1,1
4,13.9,1545,45.15,5,37.5,30.2,591,2f,1,1
5,13.9,1580,45.2,5,37.5,30.2,524,2f,1,1
6,13.9,1620,35.06,5,37.5,30.2,543,2f,1,1
7,13.9,1647,29.42,5,37.5,30.2,333,2f,1,1
1,13.9,1692,36.04,6,37.5,30.2,423,2f,1,1
2,13.9,1713,49.62,6,37.5,30.2,378,2f,1,1
3,13.9,1780,32.63,6,37.5,30.2,422,2f,1,1
4,13.9,1820,47.73,6,37.5,30.2,418,2f,1,1
5,13.9,1858,47.17,6,37.5,30.2,587,2f,1,1
6,13.9,1917,35.35,6,37.5,30.2,n/a,2f,1,1
7,13.9,1940,29.88,6,37.5,30.2,352,2f,1,1
1,13.9,1976,36.36,7,37.5,30.2,438,2f,1,1
6,13.9,2015,36.3,7,37.5,30.2,494,2f,1,1
7,13.9,2055,29.45,7,37.5,30.2,353,2f,1,1
1,13.9,2110,37.42,8,37.5,30.2,422,2f,1,1
6,13.9,2191,37.26,8,37.5,30.2,560,2f,1,1
1,13.9,2370,37.38,9,37.5,30.2,274,2f,1,1
6,13.9,2400,36.7,9,37.5,30.2,558,2f,1,1
1,13.9,2462,37.95,10,37.5,30.2,466,2f,1,1
7,13.9,2490,30.13,8,37.5,30.2,283,2f,1,1
1,20.6,40,42.32,1,37.5,30.2,n/a,2g,2,1
2,20.6,67,43.66,1,37.5,30.2,39,2g,2,1
3,20.6,90,32.15,1,37.5,30.2,51,2g,2,1
4,20.6,117,45.78,1,37.5,30.2,496,2g,2,1
5,20.6,148,42.51,1,37.5,30.2,n/q,2g,2,1
6,20.6,170,40.34,1,37.5,30.2,404,2g,2,1
7,20.6,193,30.85,1,37.5,30.2,n/a,2g,2,1
1,20.6,230,42.64,2,37.5,30.2,323,2g,2,1
2,20.6,260,45.83,2,37.5,30.2,402,2g,2,1
3,20.6,317,34.87,2,37.5,30.2,n/a,2g,2,1
4,20.6,350,45.72,2,37.5,30.2,561,2g,2,1
5,20.6,403,43.25,2,37.5,30.2,442,2g,2,1
6,20.6,464,41.14,2,37.5,30.2,408,2g,2,1
7,20.6,491,29.9,2,37.5,30.2,296,2g,2,1
1,20.6,530,44.15,3,37.5,30.2,270,2g,2,1
2,20.6,534,46.5,3,37.5,30.2,n/a,2g,2,1
3,20.6,595,34.23,3,37.5,30.2,315,2g,2,1
4,20.6,619,49.37,3,37.5,30.2,496,2g,2,1
5,20.6,653,46.01,3,37.5,30.2,353,2g,2,1
6,20.6,733,41.64,3,37.5,30.2,n/a,2g,2,1
7,20.6,750,29.3,3,37.5,30.2,252,2g,2,1
1,20.6,787,45.09,4,37.5,30.2,236,2g,2,1
